Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
000862,银星能源,2026-07-15,4.79,2.13%,动量: 突破转强 (阳线上穿5/10),4.88,6.11,1.05X
002521,齐峰新材,2026-07-13,6.43,-4.03%,"形态: 两连阴 (-1.66%, -5.77%)",6.98,7.62,1.11X
601319,中国人保,2026-07-13,7.07,0.14%,趋势: 高于MA20,7.06,7.24,0.94X
603903,中持股份,2026-07-15,14.45,-6.77%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,13.72,12.76,1.07X
002053,云南能投,2026-07-13,9.18,-2.24%,形态: 10日内有涨停,9.58,10.97,0.82X
600463,空港股份,2026-07-15,7.84,2.75%,量能: 放量 (1.62X) | 动量: 突破转强 (阳线上穿5/10),7.89,9.37,1.62X
603901,永创智能,2026-07-13,9.46,-6.43%,"形态: 两连阴 (-0.78%, -0.88%)",10.60,11.63,1.09X
600203,福日电子,2026-07-15,10.84,-9.97%,"形态: 两连阴 (-4.48%, -0.91%)",12.39,12.46,1.00X
605388,均瑶健康,2026-07-15,5.13,3.22%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.01,6.06,1.11X
002166,莱茵生物,2026-07-15,6.96,7.74%,量能: 放量 (2.53X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),6.56,7.81,2.53X
600054,黄山旅游,2026-07-15,11.08,1.47%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),10.93,11.21,1.05X
600738,丽尚国潮,2026-07-15,3.89,1.30%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),3.77,4.24,1.17X
600012,皖通高速,2026-07-13,16.88,1.56%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.16%, -2.81%) | 趋势: 高于MA20",16.23,16.15,1.07X
600235,民丰特纸,2026-07-15,5.29,1.34%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.21,5.99,0.73X
000950,重药控股,2026-07-15,5.59,3.71%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.20,5.68,1.47X
002668,TCL智家,2026-07-13,10.71,2.19%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,10.50,9.88,1.04X
000821,京山轻机,2026-07-15,7.35,1.24%,"形态: 两连阴 (-5.94%, -0.27%)",7.82,9.26,0.83X
601898,中煤能源,2026-07-15,13.12,-0.98%,趋势: 高于MA20,13.03,15.42,1.05X
