Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
603332,苏州龙杰,2026-08-14,11.19,0.27%,趋势: 高于MA20,10.65,11.03,0.92X
601933,永辉超市,2026-08-28,3.15,0.64%,动量: 突破转强 (阳线上穿5/10),3.20,3.15,0.98X
002572,索菲亚,2026-08-06,8.33,-1.65%,"形态: 两连阴 (-1.96%, -0.59%) | 趋势: 高于MA20",8.19,8.63,0.88X
002577,雷柏科技,2026-08-06,18.97,1.44%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),17.58,18.23,0.82X
002541,鸿路钢构,2026-08-28,20.22,1.81%,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.59X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),19.77,19.06,1.59X
000036,华联控股,2026-08-14,4.17,0.24%,趋势: 高于MA20,4.09,4.56,0.92X
002679,福建金森,2026-08-06,8.78,1.15%,"形态: 两连阴 (-0.57%, -0.46%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",8.21,8.74,0.97X
002242,九阳股份,2026-08-06,9.0,-1.42%,"形态: 10日内有涨停 | 形态: 两连阴 (-0.87%, -0.22%) | 趋势: 高于MA20",8.62,8.74,0.93X
002688,金河生物,2026-08-14,5.2,-0.57%,趋势: 高于MA20,5.06,5.08,0.74X
601611,中国核建,2026-08-14,11.28,0.98%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.85%, -3.71%) | 趋势: 高于MA20",11.03,10.96,0.57X
001356,富岭股份,2026-08-06,8.62,-1.15%,"形态: 两连阴 (-0.91%, -0.34%) | 趋势: 高于MA20",8.54,9.22,0.72X
603096,新经典,2026-08-06,14.77,1.03%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),13.94,14.99,0.85X
600192,长城电工,2026-08-14,7.17,-2.85%,形态: 10日内有涨停 | 趋势: 高于MA20,6.88,6.95,0.56X
