代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
002590,2026-07-13,9.04,9.44,4.42,8.19,1,24,"形态: 两连阴 (-0.62%, -0.31%)"
002590,2026-08-06,9.66,9.44,-2.28,-0.21,0,6,趋势: 高于MA20
000532,2026-08-06,10.8,10.83,0.28,1.11,1,6,趋势: 高于MA20
603105,2026-08-07,7.2,7.62,5.83,12.22,1,15,"形态: 两连阴 (-0.14%, -1.51%) | 趋势: 高于MA20"
000812,2026-07-15,3.32,3.57,7.53,10.24,1,22,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000812,2026-08-06,3.53,3.57,1.13,3.68,1,6,"形态: 两连阴 (-0.57%, -0.29%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
002576,2026-08-06,14.53,14.29,-1.65,2.68,0,6,趋势: 高于MA20
601022,2026-08-06,8.11,7.92,-2.34,0.62,0,6,趋势: 高于MA20
002731,2026-07-15,2.09,0.85,-59.33,21.05,0,32,"量能: 放量 (4.86X) | 形态: 两连阴 (-10.14%, -10.12%)"
002752,2026-08-18,6.0,6.06,1.0,1.0,1,8,趋势: 高于MA20
002752,2026-07-15,6.15,6.06,-1.46,-0.16,0,32,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605500,2026-08-06,6.92,6.9,-0.29,2.17,0,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600163,2026-07-15,4.9,5.25,7.14,10.41,1,32,动量: 突破转强 (阳线上穿5/10)
600333,2026-07-13,5.5,6.21,12.91,13.64,1,24,趋势: 高于MA20
600333,2026-08-06,6.12,6.21,1.47,2.12,1,6,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000070,2026-08-18,15.35,15.91,3.65,7.49,1,8,趋势: 高于MA20
002275,2026-08-18,13.4,12.54,-6.42,1.64,0,8,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.97%, -0.08%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
002275,2026-07-15,13.67,12.54,-8.27,0.73,0,32,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002275,2026-08-07,13.36,12.54,-6.14,1.95,0,15,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002471,2026-07-15,5.13,5.74,11.89,14.81,1,22,"形态: 10日内有涨停 | 形态: 两连阴 (-9.97%, -1.53%)"
002471,2026-08-06,5.75,5.74,-0.17,2.43,0,6,趋势: 高于MA20
605167,2026-08-06,14.87,14.39,-3.23,1.75,0,6,量能: 放量 (1.66X) | 形态: 10日内有涨停 | 趋势: 高于MA20
