代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
002730,2026-07-09,26.15,27.9,6.69,7.46,1,2,"形态: 两连阴 (-3.73%, -1.01%)"
002730,2026-07-10,28.1,27.9,-0.71,-0.71,0,1,"量能: 放量 (1.76X) | 形态: 两连阴 (-1.01%, -0.76%) | 动量: 突破转强 (阳线上穿5/10)"
002730,2026-07-03,27.76,27.9,0.5,1.22,1,6,"形态: 两连阴 (-3.54%, -0.80%) | 趋势: 高于MA20"
002730,2026-07-01,28.85,27.9,-3.29,-0.8,0,8,趋势: 高于MA20
002730,2026-07-07,26.62,27.9,4.81,5.56,1,4,"形态: 两连阴 (-3.00%, -0.40%)"
603339,2026-07-09,15.33,15.98,4.24,6.0,1,2,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.57X) | 形态: 10日内有涨停 | 趋势: 高于MA20
603339,2026-07-10,16.25,15.98,-1.66,-1.66,0,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603339,2026-07-03,14.31,15.98,11.67,13.56,1,6,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
603339,2026-07-01,14.46,15.98,10.51,12.38,1,8,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603339,2026-07-07,14.06,15.98,13.66,15.58,1,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
002682,2026-07-09,4.2,4.22,0.48,2.38,1,4,"形态: 两连阴 (-3.00%, -1.19%)"
002682,2026-07-10,4.3,4.22,-1.86,-1.86,0,3,动量: 突破转强 (阳线上穿5/10)
002682,2026-07-03,4.42,4.22,-4.52,-2.04,0,8,动量: 突破转强 (阳线上穿5/10)
603889,2026-07-09,5.17,5.54,7.16,7.16,1,4,"形态: 两连阴 (-0.57%, -0.38%)"
603889,2026-07-10,5.23,5.54,5.93,5.93,1,3,"形态: 两连阴 (-0.38%, -1.52%)"
603889,2026-07-01,5.08,5.54,9.06,9.06,1,10,"形态: 两连阴 (-1.48%, -3.95%)"
002488,2026-07-09,8.76,8.45,-3.54,1.94,0,4,"形态: 两连阴 (-3.42%, -4.40%)"
