代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
002590,2026-07-13,9.04,9.66,6.86,8.19,1,18,"形态: 两连阴 (-0.62%, -0.31%)"
000812,2026-07-15,3.32,3.53,6.33,6.33,1,16,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600333,2026-07-13,5.5,6.12,11.27,11.27,1,18,趋势: 高于MA20
002275,2026-07-15,13.67,13.36,-2.27,0.73,0,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002471,2026-07-15,5.13,5.75,12.09,12.67,1,16,"形态: 10日内有涨停 | 形态: 两连阴 (-9.97%, -1.53%)"
603272,2026-07-15,16.23,16.8,3.51,6.28,1,17,"形态: 两连阴 (-10.01%, -9.26%)"
603928,2026-07-15,13.71,12.67,-7.59,-7.59,0,17,"形态: 10日内有涨停 | 形态: 两连阴 (-10.00%, -9.99%)"
002268,2026-07-15,14.42,14.81,2.7,2.77,1,16,"形态: 两连阴 (-6.65%, -1.12%) | 趋势: 高于MA20"
600057,2026-07-15,6.05,6.24,3.14,10.91,1,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603535,2026-07-15,6.11,6.34,3.76,6.38,1,17,动量: 突破转强 (阳线上穿5/10)
601058,2026-07-15,13.33,13.61,2.1,7.5,1,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000498,2026-07-13,4.91,5.02,2.24,6.31,1,18,动量: 突破转强 (阳线上穿5/10)
601528,2026-07-13,4.66,4.98,6.87,12.23,1,18,"量能: 放量 (1.56X) | 形态: 两连阴 (-1.08%, -0.22%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
002302,2026-07-15,4.48,5.08,13.39,13.39,1,16,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000589,2026-07-13,4.25,4.28,0.71,3.76,1,18,"形态: 两连阴 (-0.70%, -0.70%)"
600588,2026-07-15,9.31,11.99,28.79,28.79,1,16,"形态: 两连阴 (-3.21%, -1.71%)"
600416,2026-07-15,8.57,9.18,7.12,9.92,1,16,"形态: 两连阴 (-3.02%, -3.89%)"
002585,2026-07-15,9.24,9.37,1.41,1.84,1,17,形态: 10日内有涨停
603209,2026-07-13,13.41,13.71,2.24,2.24,1,18,趋势: 高于MA20
001210,2026-07-15,20.77,21.78,4.86,4.86,1,16,动量: 突破转强 (阳线上穿5/10)
002184,2026-07-13,8.89,9.85,10.8,11.36,1,18,形态: 10日内有涨停
