触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
量能: 放量 (1.79X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,82.43,91.55,100.0%
"量能: 放量 (2.03X) | 形态: 两连阴 (-1.16%, -0.21%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,45.02,61.07,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (3.07X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,44.15,51.36,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.99%, -2.83%)",1,42.95,42.95,100.0%
"形态: 两连阴 (-3.82%, -1.75%)",1,26.52,42.61,100.0%
"形态: 两连阴 (-0.92%, -0.19%) | 趋势: 高于MA20",1,26.49,26.49,100.0%
"形态: 两连阴 (-3.21%, -1.71%)",1,25.13,28.79,100.0%
量能: 放量 (1.72X) | 动量: 突破转强 (阳线上穿5/10),1,24.06,24.06,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.80%, -2.80%)",1,22.17,22.17,100.0%
"形态: 两连阴 (-10.02%, -9.96%)",1,21.62,27.25,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-10.01%, -1.32%)",1,21.17,24.74,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.02%, -1.50%)",1,20.91,33.94,100.0%
"形态: 两连阴 (-1.66%, -0.38%) | 动量: 突破转强 (阳线上穿5/10)",1,19.14,24.35,100.0%
量能: 放量 (2.03X),1,18.04,25.88,100.0%
量能: 放量 (1.84X),1,17.41,17.41,100.0%
"形态: 两连阴 (-10.03%, -6.71%)",1,17.28,20.98,100.0%
"量能: 放量 (1.67X) | 形态: 两连阴 (-1.87%, -1.30%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,16.11,23.3,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-10.02%, -2.15%)",1,16.05,28.94,100.0%
"形态: 两连阴 (-9.97%, -7.80%)",1,15.69,16.82,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-6.91%, -0.32%)",1,15.09,26.65,100.0%
"形态: 两连阴 (-5.41%, -1.21%)",1,14.66,19.48,100.0%
"形态: 两连阴 (-4.36%, -1.01%)",1,14.4,28.8,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.41%, -0.93%)",1,14.37,20.96,100.0%
量能: 放量 (1.57X),1,13.95,14.59,100.0%
"形态: 两连阴 (-2.62%, -1.64%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,13.07,24.66,100.0%
"形态: 两连阴 (-2.61%, -1.34%) | 趋势: 高于MA20",1,12.83,15.78,100.0%
"形态: 两连阴 (-1.09%, -0.60%)",1,12.75,15.49,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.73%, -3.75%)",1,12.27,14.31,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.98%, -5.67%)",1,12.24,17.61,100.0%
量能: 放量 (1.63X),1,12.04,12.04,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.97%, -1.53%)",1,11.89,14.81,100.0%
"形态: 两连阴 (-1.83%, -2.21%)",1,11.48,13.09,100.0%
"形态: 两连阴 (-0.69%, -0.23%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,11.3,11.3,100.0%
量能: 放量 (2.03X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,11.12,11.12,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.35%, -5.43%)",1,10.86,15.47,100.0%
"形态: 两连阴 (-9.51%, -1.34%)",1,10.69,17.4,100.0%
"形态: 两连阴 (-8.44%, -1.01%)",1,10.56,13.17,100.0%
量能: 放量 (2.51X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,10.38,10.38,100.0%
量能: 放量 (2.69X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,10.12,22.36,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-10.03%, -6.87%)",1,10.02,10.73,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.97%, -0.17%)",1,9.92,9.92,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-7.87%, -0.13%)",1,9.38,15.1,100.0%
量能: 放量 (1.96X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,9.26,9.91,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.19%, -0.76%) | 趋势: 高于MA20",1,8.75,14.5,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.36%, -1.57%)",1,8.67,8.93,100.0%
"形态: 两连阴 (-6.54%, -0.26%)",1,8.44,12.28,100.0%
"形态: 两连阴 (-4.80%, -3.66%)",1,8.18,23.31,100.0%
"形态: 两连阴 (-8.16%, -2.25%)",1,8.16,8.27,100.0%
"形态: 两连阴 (-9.87%, -5.57%)",1,7.96,11.07,100.0%
"形态: 两连阴 (-5.85%, -0.96%)",1,7.79,12.18,100.0%
形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10),4,7.6975,9.0275,100.0%
"形态: 两连阴 (-1.66%, -5.77%)",1,7.62,10.42,100.0%
量能: 放量 (1.66X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,7.49,13.19,100.0%
"形态: 两连阴 (-9.99%, -4.10%)",1,7.46,10.42,100.0%
"形态: 两连阴 (-0.63%, -1.01%) | 趋势: 高于MA20",1,7.29,7.29,100.0%
量能: 放量 (1.52X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,7.15,9.59,100.0%
"形态: 两连阴 (-3.81%, -8.91%)",1,7.1,7.1,100.0%
"形态: 两连阴 (-10.03%, -4.32%)",1,7.07,8.79,100.0%
"形态: 两连阴 (-9.13%, -2.61%)",1,7.04,7.83,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.43%, -0.40%)",1,7.01,9.23,100.0%
"形态: 两连阴 (-0.16%, -2.45%) | 动量: 突破转强 (阳线上穿5/10)",1,6.91,8.06,100.0%
量能: 放量 (1.61X),1,6.84,9.68,100.0%
"形态: 两连阴 (-9.98%, -7.07%)",1,6.8,7.85,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.56%, -0.86%)",1,6.77,7.07,100.0%
"形态: 两连阴 (-1.89%, -1.47%)",1,6.76,6.89,100.0%
形态: 10日内有涨停,43,6.744883720930232,11.99046511627907,79.07%
"形态: 两连阴 (-0.70%, -0.71%) | 趋势: 高于MA20",1,6.67,6.67,100.0%
"形态: 两连阴 (-5.77%, -3.38%)",1,6.63,9.94,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.98%, -1.37%)",1,6.1,13.22,100.0%
"形态: 两连阴 (-5.98%, -1.30%)",1,6.1,7.44,100.0%
"形态: 两连阴 (-1.01%, -0.46%) | 趋势: 高于MA20",1,5.98,16.73,100.0%
"形态: 两连阴 (-1.42%, -0.24%) | 趋势: 高于MA20",1,5.89,8.89,100.0%
"形态: 两连阴 (-0.44%, -1.77%) | 趋势: 高于MA20",1,5.75,10.89,100.0%
量能: 放量 (1.92X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,5.67,10.48,100.0%
"形态: 两连阴 (-1.00%, -0.38%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,5.6,7.85,100.0%
"形态: 两连阴 (-7.88%, -4.66%)",1,5.54,9.14,100.0%
量能: 放量 (1.53X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,5.42,7.22,100.0%
"形态: 两连阴 (-6.42%, -1.37%)",1,5.18,10.36,100.0%
"形态: 两连阴 (-0.18%, -0.73%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,5.07,5.07,100.0%
"形态: 两连阴 (-5.10%, -0.46%)",1,5.03,8.23,100.0%
量能: 放量 (1.73X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,4.85,7.21,100.0%
"形态: 两连阴 (-0.74%, -1.04%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,4.73,4.73,100.0%
动量: 突破转强 (阳线上穿5/10),37,4.618378378378378,8.021351351351353,83.78%
"形态: 两连阴 (-9.98%, -4.27%)",1,4.6,11.02,100.0%
量能: 放量 (1.62X) | 动量: 突破转强 (阳线上穿5/10),1,4.59,5.99,100.0%
"形态: 两连阴 (-0.62%, -0.31%)",1,4.42,8.19,100.0%
"形态: 两连阴 (-3.02%, -3.89%)",1,4.32,9.92,100.0%
"量能: 放量 (1.56X) | 形态: 两连阴 (-1.08%, -0.22%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,4.29,12.23,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.50%, -0.69%)",1,4.24,7.07,100.0%
"形态: 两连阴 (-6.90%, -0.28%)",1,4.23,7.76,100.0%
量能: 放量 (1.67X) | 动量: 突破转强 (阳线上穿5/10),1,4.14,11.56,100.0%
量能: 放量 (1.73X) | 形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10),1,4.14,4.14,100.0%
"形态: 两连阴 (-0.12%, -0.93%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,4.07,4.07,100.0%
量能: 放量 (2.21X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.9,6.63,100.0%
"形态: 两连阴 (-1.75%, -0.41%) | 趋势: 高于MA20",1,3.86,4.97,100.0%
"形态: 两连阴 (-1.52%, -0.33%)",1,3.85,8.8,100.0%
量能: 放量 (2.07X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.57,10.01,100.0%
"形态: 两连阴 (-5.81%, -2.46%)",1,3.54,16.67,100.0%
"形态: 两连阴 (-10.01%, -9.26%)",1,3.51,6.28,100.0%
量能: 放量 (2.06X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.48,4.41,100.0%
量能: 放量 (1.55X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.35,8.13,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.83%, -0.68%)",1,3.35,5.4,100.0%
量能: 放量 (1.65X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.2,9.34,100.0%
"形态: 两连阴 (-0.15%, -0.97%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,3.16,4.36,100.0%
趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),3,3.1333333333333333,10.096666666666666,66.67%
形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),33,3.0660606060606064,7.429393939393939,51.52%
