触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
"形态: 10日内有涨停 | 形态: 两连阴 (-2.32%, -0.42%) | 趋势: 高于MA20",1,162.93,162.93,100.0%
量能: 放量 (1.79X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,82.43,91.55,100.0%
"量能: 放量 (2.03X) | 形态: 两连阴 (-1.16%, -0.21%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,45.02,61.07,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (3.07X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,44.15,51.36,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.99%, -2.83%)",1,42.95,42.95,100.0%
"形态: 两连阴 (-3.82%, -1.75%)",1,26.52,42.61,100.0%
"形态: 两连阴 (-0.92%, -0.19%) | 趋势: 高于MA20",1,26.49,26.49,100.0%
"量能: 放量 (1.51X) | 形态: 两连阴 (-1.24%, -1.03%)",1,25.55,28.65,100.0%
"形态: 两连阴 (-3.21%, -1.71%)",1,25.13,28.79,100.0%
量能: 放量 (1.72X) | 动量: 突破转强 (阳线上穿5/10),1,24.06,24.06,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.80%, -2.80%)",1,22.17,22.17,100.0%
"形态: 两连阴 (-10.02%, -9.96%)",1,21.62,27.25,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-10.01%, -1.32%)",1,21.17,24.74,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.02%, -1.50%)",1,20.91,33.94,100.0%
"形态: 两连阴 (-8.24%, -2.84%)",1,20.76,35.32,100.0%
量能: 放量 (2.10X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,20.49,20.49,100.0%
"形态: 两连阴 (-1.66%, -0.38%) | 动量: 突破转强 (阳线上穿5/10)",1,19.14,24.35,100.0%
量能: 放量 (2.03X),1,18.04,25.88,100.0%
"量能: 放量 (1.67X) | 形态: 两连阴 (-1.87%, -1.30%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,17.93,23.3,100.0%
"形态: 两连阴 (-10.03%, -6.71%)",1,17.28,20.98,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-10.02%, -2.15%)",1,16.05,28.94,100.0%
"形态: 两连阴 (-9.97%, -7.80%)",1,15.69,16.82,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-6.91%, -0.32%)",1,15.09,26.65,100.0%
"形态: 两连阴 (-4.36%, -1.01%)",1,14.4,28.8,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.41%, -0.93%)",1,14.37,20.96,100.0%
量能: 放量 (1.57X),1,13.95,14.59,100.0%
"形态: 两连阴 (-5.41%, -1.21%)",1,13.45,25.76,100.0%
"形态: 两连阴 (-2.62%, -1.64%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,13.07,24.66,100.0%
"形态: 两连阴 (-2.61%, -1.34%) | 趋势: 高于MA20",1,12.83,15.78,100.0%
"形态: 两连阴 (-1.09%, -0.60%)",1,12.75,15.49,100.0%
"形态: 两连阴 (-8.43%, -1.45%)",1,12.62,27.87,100.0%
量能: 放量 (2.66X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,12.5,12.5,100.0%
