触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
量能: 放量 (1.79X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,82.43,91.55,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (3.07X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,44.15,51.36,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.99%, -2.83%)",1,42.95,42.95,100.0%
"形态: 两连阴 (-3.82%, -1.75%)",1,33.5,34.51,100.0%
"形态: 两连阴 (-3.21%, -1.71%)",1,25.13,28.79,100.0%
"形态: 两连阴 (-10.02%, -9.96%)",1,21.62,27.25,100.0%
"形态: 两连阴 (-4.36%, -1.01%)",1,21.5,28.8,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-10.01%, -1.32%)",1,21.17,24.74,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.02%, -1.50%)",1,20.91,33.94,100.0%
"形态: 两连阴 (-1.66%, -0.38%) | 动量: 突破转强 (阳线上穿5/10)",1,20.07,22.86,100.0%
"形态: 两连阴 (-2.62%, -1.64%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,19.38,24.66,100.0%
量能: 放量 (1.72X) | 动量: 突破转强 (阳线上穿5/10),1,19.11,19.45,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-6.91%, -0.32%)",1,17.82,25.04,100.0%
量能: 放量 (1.84X),1,17.41,17.41,100.0%
"形态: 两连阴 (-10.03%, -6.71%)",1,17.28,20.98,100.0%
"量能: 放量 (1.67X) | 形态: 两连阴 (-1.87%, -1.30%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,16.11,23.3,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-10.02%, -2.15%)",1,16.05,28.94,100.0%
"形态: 两连阴 (-4.80%, -3.66%)",1,15.79,23.31,100.0%
"形态: 两连阴 (-9.97%, -7.80%)",1,15.69,16.82,100.0%
"形态: 两连阴 (-5.41%, -1.21%)",1,14.66,19.48,100.0%
量能: 放量 (1.57X),1,12.95,12.95,100.0%
"形态: 两连阴 (-2.61%, -1.34%) | 趋势: 高于MA20",1,12.83,15.78,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.73%, -3.75%)",1,12.27,14.31,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.98%, -5.67%)",1,12.24,17.61,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.97%, -1.53%)",1,11.89,14.81,100.0%
"形态: 两连阴 (-1.09%, -0.60%)",1,11.8,15.49,100.0%
量能: 放量 (2.11X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,11.75,11.75,100.0%
量能: 放量 (2.03X),1,11.71,14.45,100.0%
"形态: 两连阴 (-1.83%, -2.21%)",1,11.2,12.05,100.0%
量能: 放量 (2.03X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,11.12,11.12,100.0%
形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10),2,10.915,11.729999999999999,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.35%, -5.43%)",1,10.86,15.47,100.0%
"形态: 两连阴 (-9.51%, -1.34%)",1,10.69,17.4,100.0%
"形态: 两连阴 (-8.44%, -1.01%)",1,10.56,13.17,100.0%
量能: 放量 (2.51X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,10.38,10.38,100.0%
量能: 放量 (2.69X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,10.12,22.36,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-10.03%, -6.87%)",1,10.02,10.73,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.97%, -0.17%)",1,9.92,9.92,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.41%, -0.93%)",1,9.75,9.97,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-7.87%, -0.13%)",1,9.38,15.1,100.0%
量能: 放量 (1.96X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,9.26,9.91,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.19%, -0.76%) | 趋势: 高于MA20",1,8.75,14.5,100.0%
"形态: 两连阴 (-6.54%, -0.26%)",1,8.44,12.28,100.0%
量能: 放量 (1.67X) | 动量: 突破转强 (阳线上穿5/10),1,8.27,11.56,100.0%
"形态: 两连阴 (-8.16%, -2.25%)",1,8.16,8.27,100.0%
"形态: 两连阴 (-9.87%, -5.57%)",1,7.96,11.07,100.0%
"形态: 两连阴 (-5.85%, -0.96%)",1,7.79,12.18,100.0%
量能: 放量 (1.66X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,7.49,13.19,100.0%
"形态: 两连阴 (-9.99%, -4.10%)",1,7.46,10.42,100.0%
"形态: 两连阴 (-1.98%, -1.07%)",1,7.45,7.45,100.0%
"形态: 两连阴 (-3.81%, -2.21%)",1,7.34,9.7,100.0%
"形态: 两连阴 (-1.66%, -5.77%)",1,7.31,8.24,100.0%
"形态: 两连阴 (-0.63%, -1.01%) | 趋势: 高于MA20",1,7.29,7.29,100.0%
量能: 放量 (1.52X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,7.15,9.59,100.0%
"形态: 两连阴 (-10.03%, -4.32%)",1,7.07,8.79,100.0%
"量能: 放量 (1.56X) | 形态: 两连阴 (-1.08%, -0.22%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,6.87,12.23,100.0%
"形态: 两连阴 (-0.62%, -0.31%)",1,6.86,8.19,100.0%
量能: 放量 (1.61X),1,6.84,9.68,100.0%
"形态: 两连阴 (-9.98%, -7.07%)",1,6.8,7.85,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.56%, -0.86%)",1,6.77,7.07,100.0%
"形态: 两连阴 (-5.77%, -3.38%)",1,6.63,9.94,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.80%, -2.80%)",1,6.42,6.93,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.98%, -1.37%)",1,6.1,13.22,100.0%
"形态: 两连阴 (-5.98%, -1.30%)",1,5.95,5.95,100.0%
"形态: 两连阴 (-1.42%, -0.24%) | 趋势: 高于MA20",1,5.89,8.89,100.0%
量能: 放量 (1.92X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,5.67,10.48,100.0%
"形态: 两连阴 (-9.13%, -2.61%)",1,5.65,7.33,100.0%
"形态: 两连阴 (-7.88%, -4.66%)",1,5.54,9.14,100.0%
"形态: 两连阴 (-0.16%, -2.45%) | 动量: 突破转强 (阳线上穿5/10)",1,5.26,8.06,100.0%
"形态: 两连阴 (-0.31%, -6.56%)",1,5.18,7.65,100.0%
"形态: 两连阴 (-6.42%, -1.37%)",1,5.18,10.36,100.0%
"形态: 两连阴 (-5.10%, -0.46%)",1,5.03,8.23,100.0%
趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),3,4.876666666666667,10.096666666666666,100.0%
量能: 放量 (1.53X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,4.87,6.68,100.0%
"形态: 两连阴 (-1.89%, -1.47%)",1,4.85,6.89,100.0%
"形态: 两连阴 (-0.74%, -1.04%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,4.73,4.73,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.83%, -0.68%)",1,4.66,4.66,100.0%
"形态: 两连阴 (-9.98%, -4.27%)",1,4.6,11.02,100.0%
量能: 放量 (1.62X) | 动量: 突破转强 (阳线上穿5/10),1,4.59,5.99,100.0%
形态: 10日内有涨停,43,4.467209302325582,8.525813953488372,74.42%
"形态: 两连阴 (-3.02%, -3.89%)",1,4.32,9.92,100.0%
"形态: 两连阴 (-6.90%, -0.28%)",1,4.23,7.76,100.0%
量能: 放量 (1.54X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,4.22,10.37,100.0%
量能: 放量 (2.21X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.9,6.63,100.0%
"形态: 两连阴 (-1.75%, -0.41%) | 趋势: 高于MA20",1,3.86,4.97,100.0%
"形态: 两连阴 (-1.52%, -0.33%)",1,3.85,8.8,100.0%
动量: 突破转强 (阳线上穿5/10),32,3.8362499999999997,7.3009375,84.38%
量能: 放量 (1.63X),1,3.61,3.61,100.0%
"形态: 两连阴 (-5.81%, -2.46%)",1,3.54,16.67,100.0%
形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),24,3.512083333333333,7.427916666666667,54.17%
"形态: 两连阴 (-10.01%, -9.26%)",1,3.51,6.28,100.0%
量能: 放量 (2.06X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.48,4.41,100.0%
量能: 放量 (1.55X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.35,8.13,100.0%
量能: 放量 (1.65X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.2,9.34,100.0%
趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),137,3.104890510948905,6.226642335766423,70.8%
"形态: 两连阴 (-3.73%, -0.73%)",1,2.98,6.2,100.0%
"形态: 两连阴 (-5.08%, -7.43%)",1,2.93,10.45,100.0%
"形态: 两连阴 (-0.74%, -0.62%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,2.82,3.44,100.0%
量能: 放量 (2.09X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,2.75,4.89,100.0%
"形态: 两连阴 (-0.36%, -1.45%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,2.74,4.38,100.0%
量能: 放量 (1.88X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,2.71,3.72,100.0%
"形态: 两连阴 (-6.65%, -1.12%) | 趋势: 高于MA20",1,2.7,2.77,100.0%
"量能: 放量 (1.56X) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.18%, -2.68%)",1,2.7,10.03,100.0%
"形态: 两连阴 (-0.18%, -0.55%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,2.56,3.84,100.0%
"形态: 两连阴 (-0.78%, -0.88%)",1,2.43,4.76,100.0%
"形态: 两连阴 (-2.89%, -2.64%)",1,2.37,2.37,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.36%, -1.57%)",1,2.35,2.87,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.22%, -2.06%)",1,2.24,3.65,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.50%, -0.69%)",1,2.12,4.24,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-6.97%, -0.53%)",1,2.03,6.21,100.0%
"形态: 两连阴 (-2.63%, -0.71%) | 趋势: 高于MA20",1,1.91,13.6,100.0%
量能: 放量 (3.36X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,1.84,3.89,100.0%
形态: 10日内有涨停 | 趋势: 高于MA20,16,1.7487499999999998,6.441875,68.75%
"形态: 两连阴 (-1.44%, -1.03%)",1,1.74,2.7,100.0%
"形态: 两连阴 (-0.29%, -0.30%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,1.62,3.1,100.0%
量能: 放量 (1.58X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,1.51,4.77,100.0%
"形态: 两连阴 (-0.19%, -0.68%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,1.25,3.57,100.0%
"形态: 两连阴 (-0.57%, -0.29%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,1.13,3.68,100.0%
量能: 放量 (1.79X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,1.13,2.47,100.0%
"形态: 两连阴 (-6.07%, -1.13%)",1,1.08,1.08,100.0%
"形态: 两连阴 (-0.70%, -0.70%)",1,0.71,3.76,100.0%
"形态: 两连阴 (-0.54%, -0.16%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,0.69,3.14,100.0%
"形态: 两连阴 (-1.17%, -0.68%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,0.68,3.05,100.0%
"形态: 两连阴 (-3.79%, -0.21%)",1,0.5,3.42,100.0%
趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,6,0.49166666666666714,6.286666666666666,50.0%
"形态: 两连阴 (-0.91%, -0.26%) | 趋势: 高于MA20",1,0.4,1.99,100.0%
"形态: 两连阴 (-0.47%, -0.16%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,0.31,2.02,100.0%
"形态: 两连阴 (-2.94%, -1.10%)",1,0.13,1.33,100.0%
趋势: 高于MA20,78,0.09012820512820507,3.7108974358974356,39.74%
"形态: 两连阴 (-1.30%, -0.44%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,0.0,3.08,0.0%
"形态: 两连阴 (-1.45%, -0.92%) | 趋势: 高于MA20",1,0.0,1.31,0.0%
"形态: 两连阴 (-0.37%, -0.56%) | 趋势: 高于MA20",1,0.0,3.01,0.0%
"形态: 两连阴 (-0.51%, -1.31%) | 趋势: 高于MA20",1,0.0,3.19,0.0%
"形态: 两连阴 (-1.24%, -0.10%) | 趋势: 高于MA20",1,0.0,2.44,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-10.03%, -10.04%)",1,0.0,0.0,0.0%
"形态: 两连阴 (-0.67%, -3.80%)",1,0.0,5.29,0.0%
"形态: 两连阴 (-0.50%, -0.25%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,-0.25,1.0,0.0%
量能: 放量 (2.11X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,-0.34,5.24,0.0%
"形态: 两连阴 (-3.45%, -0.27%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,-0.44,2.12,0.0%
"形态: 两连阴 (-3.81%, -8.91%)",1,-0.55,-0.55,0.0%
量能: 放量 (2.00X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,-0.58,5.52,0.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.87%, -0.56%)",1,-0.58,1.87,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.80%, -3.95%)",1,-0.62,2.49,0.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.19%, -0.69%)",1,-0.87,1.05,0.0%
"形态: 两连阴 (-0.19%, -1.15%) | 趋势: 高于MA20",1,-0.97,1.36,0.0%
"形态: 两连阴 (-1.03%, -1.34%) | 趋势: 高于MA20",1,-1.04,0.0,0.0%
"形态: 两连阴 (-1.07%, -0.90%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,-1.26,1.54,0.0%
量能: 放量 (1.61X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,-1.27,-0.59,0.0%
"形态: 两连阴 (-1.30%, -3.48%)",1,-1.34,-0.62,0.0%
"形态: 两连阴 (-0.86%, -1.11%)",1,-1.48,0.74,0.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.67%, -1.46%) | 趋势: 高于MA20",1,-1.49,2.53,0.0%
"形态: 两连阴 (-0.63%, -0.64%) | 趋势: 高于MA20",1,-1.6,1.6,0.0%
"形态: 两连阴 (-10.00%, -6.26%)",1,-1.65,-1.65,0.0%
"形态: 两连阴 (-0.70%, -0.47%) | 趋势: 高于MA20",1,-1.66,1.18,0.0%
"形态: 两连阴 (-0.28%, -0.85%) | 趋势: 高于MA20",1,-2.13,0.14,0.0%
"形态: 两连阴 (-5.94%, -0.27%)",1,-2.18,1.22,0.0%
量能: 放量 (1.70X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,-2.4699999999999998,2.315,0.0%
量能: 放量 (1.53X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,-2.49,0.44,0.0%
"形态: 两连阴 (-0.64%, -0.11%) | 趋势: 高于MA20",1,-2.61,-0.33,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.87%, -0.67%)",1,-2.64,0.95,0.0%
趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4,-2.79,3.3425000000000002,0.0%
"形态: 两连阴 (-1.72%, -0.22%) | 趋势: 高于MA20",1,-2.87,0.66,0.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.34%, -0.41%) | 趋势: 高于MA20",1,-2.9,1.38,0.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.43%, -0.40%)",1,-2.95,-1.77,0.0%
量能: 放量 (1.54X),1,-3.06,0.87,0.0%
"形态: 两连阴 (-1.27%, -2.94%)",1,-3.17,0.63,0.0%
"形态: 两连阴 (-1.44%, -0.73%) | 趋势: 高于MA20",1,-3.19,0.0,0.0%
"形态: 两连阴 (-9.96%, -0.80%)",1,-3.25,1.12,0.0%
量能: 放量 (2.28X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,-3.64,0.71,0.0%
量能: 放量 (1.93X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,-3.69,4.85,0.0%
"形态: 两连阴 (-7.14%, -4.83%)",1,-3.79,-3.79,0.0%
"量能: 放量 (1.58X) | 形态: 两连阴 (-0.83%, -0.14%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,-4.18,-0.28,0.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.60X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,-4.19,2.89,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-7.43%, -0.14%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,-4.23,-0.13,0.0%
