触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
"形态: 两连阴 (-9.98%, -7.07%)",1,3.99,3.99,100.0%
量能: 放量 (1.65X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.84,7.35,100.0%
动量: 突破转强 (阳线上穿5/10),22,3.6727272727272724,5.6868181818181816,90.91%
量能: 放量 (1.63X),1,3.61,3.61,100.0%
量能: 放量 (2.21X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.41,4.97,100.0%
趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),37,2.764054054054054,5.923243243243244,72.97%
量能: 放量 (2.09X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,2.75,4.89,100.0%
"量能: 放量 (1.56X) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.18%, -2.68%)",1,2.7,10.03,100.0%
"形态: 两连阴 (-6.65%, -1.12%) | 趋势: 高于MA20",1,2.7,2.77,100.0%
"形态: 两连阴 (-3.79%, -0.21%)",1,2.52,3.22,100.0%
"形态: 两连阴 (-0.78%, -0.88%)",1,2.43,4.76,100.0%
"形态: 两连阴 (-2.89%, -2.64%)",1,2.37,2.37,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.36%, -1.57%)",1,2.35,2.87,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.73%, -3.75%)",1,2.32,2.32,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.22%, -2.06%)",1,2.24,3.65,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.50%, -0.69%)",1,2.12,4.24,100.0%
"形态: 两连阴 (-2.63%, -0.71%) | 趋势: 高于MA20",1,1.91,13.6,100.0%
量能: 放量 (3.36X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,1.84,3.89,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-6.97%, -0.53%)",1,1.61,1.61,100.0%
量能: 放量 (1.58X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,1.51,4.77,100.0%
量能: 放量 (1.62X) | 动量: 突破转强 (阳线上穿5/10),1,1.4,2.42,100.0%
量能: 放量 (2.06X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,1.39,1.39,100.0%
"形态: 两连阴 (-3.45%, -0.27%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,0.8,2.12,100.0%
"形态: 两连阴 (-0.70%, -0.70%)",1,0.71,3.76,100.0%
形态: 10日内有涨停 | 趋势: 高于MA20,8,0.6299999999999999,4.5575,50.0%
"形态: 两连阴 (-9.96%, -0.80%)",1,0.41,0.41,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-10.03%, -10.04%)",1,0.0,0.0,0.0%
量能: 放量 (1.70X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,-0.14,3.45,0.0%
"形态: 两连阴 (-5.94%, -0.27%)",1,-0.27,1.22,0.0%
量能: 放量 (2.11X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,-0.34,5.24,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.87%, -0.67%)",1,-0.37,0.95,0.0%
"形态: 两连阴 (-0.86%, -1.11%)",1,-0.49,0.74,0.0%
"形态: 两连阴 (-3.81%, -8.91%)",1,-0.55,-0.55,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.80%, -3.95%)",1,-0.62,2.49,0.0%
"形态: 两连阴 (-1.03%, -1.34%) | 趋势: 高于MA20",1,-1.04,0.0,0.0%
"形态: 两连阴 (-1.30%, -3.48%)",1,-1.34,-0.62,0.0%
"形态: 两连阴 (-0.67%, -3.80%)",1,-1.38,1.15,0.0%
趋势: 高于MA20,20,-1.4630000000000003,3.3695,50.0%
形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),3,-1.903333333333333,0.37999999999999995,33.33%
量能: 放量 (1.53X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,-2.71,-2.71,0.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.43%, -0.40%)",1,-2.95,-1.77,0.0%
量能: 放量 (1.54X),1,-3.06,0.87,0.0%
